frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
integer[]|integer[]|numeric[]|text|numeric[]

{{1,0,2,1},{2,1,2,2},{2,0,2,2},{2,0,0,1},{1,0,2,1},{1,2,1,1},{2,0,0,1},{2,1,2,2},{1,2,1,1},{1,0,2,1},{1,2,1,1},{2,0,0,1},{1,0,2,1},{1,0,2,1},{2,2,2,1},{2,1,2,2},{2,0,2,2},{1,2,1,1},{2,2,2,1},{2,0,2,2},{2,2,2,1},{2,0,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-1122,3081,1999,-432,-198,55,-3,-3,1}|3.2.517.1|{-23,-10,-3,-1,1}
{{1,0,2,1},{1,2,1,1},{2,0,2,2},{2,0,0,1},{1,0,2,1},{2,1,2,2},{2,0,0,1},{1,2,1,1},{2,1,2,2},{1,0,2,1},{2,1,2,2},{2,0,0,1},{1,0,2,1},{1,0,2,1},{2,2,2,1},{1,2,1,1},{2,0,2,2},{2,1,2,2},{2,2,2,1},{2,0,2,2},{2,2,2,1},{2,0,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-1122,3081,1999,-432,-198,55,-3,-3,1}|3.2.517.2|{-23,-10,-3,-1,1}
{{2,2,0,2},{1,1,1,0},{0,1,2,2},{1,1,1,0},{0,1,2,2},{2,0,1,1},{2,2,2,0},{2,0,1,1},{2,0,1,1},{2,2,0,2},{2,0,1,1},{1,1,1,0},{2,2,0,2},{2,2,0,2},{1,2,2,2},{1,1,1,0},{0,1,2,2},{2,0,1,1},{1,2,2,2},{2,2,0,2},{1,2,2,2},{0,1,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-547,283,-304,44,-26,2,4,-4,1}|3.2.517.3|{-22,-11,0,-1,1}
{{2,2,0,2},{2,2,2,0},{0,1,2,2},{2,2,2,0},{0,1,2,2},{2,0,1,1},{1,1,1,0},{2,0,1,1},{2,0,1,1},{2,2,0,2},{2,0,1,1},{2,2,2,0},{2,2,0,2},{2,2,0,2},{1,2,2,2},{2,2,2,0},{0,1,2,2},{2,0,1,1},{1,2,2,2},{2,2,0,2},{1,2,2,2},{0,1,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-547,283,-304,44,-26,2,4,-4,1}|3.2.517.4|{-22,-11,0,-1,1}
{{1,0,1,1},{2,0,2,1},{1,0,1,1},{0,1,1,1},{2,0,1,2},{0,1,1,1},{0,2,2,2},{0,1,1,1},{0,1,1,1},{2,0,1,2},{0,2,2,2},{0,2,2,2},{2,0,1,2},{1,0,1,1},{2,1,1,1},{2,0,2,1},{1,0,1,1},{0,2,2,2},{2,0,0,2},{1,0,1,1},{2,1,1,1},{2,0,1,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-224,-625,766,-304,208,-70,28,-4,1}|3.2.517.5|{-20,-11,-3,-2,1}
{{1,0,1,1},{2,0,2,1},{1,0,1,1},{0,2,2,2},{2,0,1,2},{0,2,2,2},{0,1,1,1},{0,2,2,2},{0,2,2,2},{2,0,1,2},{0,1,1,1},{0,1,1,1},{2,0,1,2},{1,0,1,1},{2,1,1,1},{2,0,2,1},{1,0,1,1},{0,1,1,1},{2,0,0,2},{1,0,1,1},{2,1,1,1},{2,0,1,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-224,-625,766,-304,208,-70,28,-4,1}|3.2.517.6|{-20,-11,-3,-2,1}
{{2,1,0,1},{2,1,0,1},{0,1,2,1},{0,1,2,1},{0,2,2,1},{0,1,2,1},{0,1,1,2},{2,1,0,1},{2,2,1,0},{2,1,1,1},{2,1,0,1},{2,1,1,1},{2,1,0,1},{0,1,1,2},{0,1,2,1},{2,1,1,1},{0,1,1,2},{2,1,1,1},{2,1,1,1},{2,1,0,1},{0,1,1,2},{0,1,2,1}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-188,-571,634,-127,67,-7,7,-4,1}|3.2.517.7|{-392,-58,15,-1,1}
{{2,1,0,1},{2,1,0,1},{0,1,2,1},{0,1,2,1},{0,1,1,2},{0,1,2,1},{0,2,2,1},{2,1,0,1},{2,2,1,0},{2,1,1,1},{2,1,0,1},{2,1,1,1},{2,1,0,1},{0,2,2,1},{0,1,2,1},{2,1,1,1},{0,2,2,1},{2,1,1,1},{2,1,1,1},{2,1,0,1},{0,2,2,1},{0,1,2,1}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-188,-571,634,-127,67,-7,7,-4,1}|3.2.517.8|{-392,-58,15,-1,1}
{{2,2,1,0},{2,1,2,2},{2,2,1,0},{1,2,1,1},{2,0,2,2},{1,0,0,2},{1,2,1,1},{1,0,0,2},{1,0,0,2},{2,0,2,2},{1,0,0,2},{1,2,1,1},{2,2,1,0},{2,2,1,0},{0,2,1,0},{1,2,1,1},{2,0,2,2},{1,0,0,2},{0,2,1,0},{2,2,1,0},{0,2,1,0},{2,2,1,0}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-56,143,-56,-178,100,-16,10,-4,1}|3.2.517.9|{-22,-11,0,-1,1}
{{2,2,1,0},{1,2,1,1},{2,2,1,0},{2,1,2,2},{2,0,2,2},{1,0,0,2},{2,1,2,2},{1,0,0,2},{1,0,0,2},{2,0,2,2},{1,0,0,2},{2,1,2,2},{2,2,1,0},{2,2,1,0},{0,2,1,0},{2,1,2,2},{2,0,2,2},{1,0,0,2},{0,2,1,0},{2,2,1,0},{0,2,1,0},{2,2,1,0}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-56,143,-56,-178,100,-16,10,-4,1}|3.2.517.10|{-22,-11,0,-1,1}
{{2,0,2,2},{2,2,1,2},{2,0,2,2},{1,0,0,2},{2,0,2,2},{2,2,1,2},{1,0,0,2},{2,2,1,2},{2,2,1,2},{1,0,1,1},{1,1,2,1},{1,0,0,2},{2,0,2,2},{2,0,2,2},{2,2,2,1},{1,1,2,1},{1,0,1,1},{2,2,1,2},{2,2,2,1},{1,0,1,1},{2,2,2,1},{2,0,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-47,0,2,0,15,0,-7,0,1}|3.2.517.11|{-23,-10,-3,-1,1}
{{2,0,2,2},{1,1,2,1},{2,0,2,2},{1,0,0,2},{2,0,2,2},{1,1,2,1},{1,0,0,2},{1,1,2,1},{1,1,2,1},{1,0,1,1},{2,2,1,2},{1,0,0,2},{2,0,2,2},{2,0,2,2},{2,2,2,1},{2,2,1,2},{1,0,1,1},{1,1,2,1},{2,2,2,1},{1,0,1,1},{2,2,2,1},{2,0,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-47,0,2,0,15,0,-7,0,1}|3.2.517.12|{-23,-10,-3,-1,1}
{{2,0,2,2},{1,2,0,2},{2,2,1,0},{0,2,2,1},{2,2,1,0},{0,2,2,1},{0,2,2,1},{0,1,1,2},{0,2,2,1},{2,0,2,2},{0,2,2,1},{0,1,1,2},{2,2,1,0},{2,0,2,2},{2,2,2,1},{1,2,0,2},{2,0,2,2},{0,1,1,2},{2,0,0,2},{2,0,2,2},{2,2,2,1},{2,0,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-9,15,-6,-12,-8,14,0,-4,1}|3.2.517.13|{-20,-11,-3,-2,1}
{{2,0,2,2},{1,2,0,2},{2,2,1,0},{0,1,1,2},{2,2,1,0},{0,1,1,2},{0,1,1,2},{0,2,2,1},{0,1,1,2},{2,0,2,2},{0,1,1,2},{0,2,2,1},{2,2,1,0},{2,0,2,2},{2,2,2,1},{1,2,0,2},{2,0,2,2},{0,2,2,1},{2,0,0,2},{2,0,2,2},{2,2,2,1},{2,0,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-9,15,-6,-12,-8,14,0,-4,1}|3.2.517.14|{-20,-11,-3,-2,1}
{{2,2,1,2},{1,0,0,2},{1,0,1,1},{1,0,0,2},{1,0,1,1},{1,1,2,1},{2,2,1,2},{1,0,1,1},{2,2,1,2},{2,1,1,1},{2,2,1,2},{1,0,0,2},{2,2,1,2},{2,1,1,1},{2,1,1,1},{1,0,0,2},{2,0,0,2},{2,1,0,2},{1,0,0,2},{1,0,0,2},{1,0,1,1}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-21168,0,0,0,504,0,-41,0,1}|3.2.518.1|{-284,548,42,-1,1}
{{1,1,2,1},{1,0,0,2},{1,0,1,1},{1,0,0,2},{1,0,1,1},{2,2,1,2},{1,1,2,1},{1,0,1,1},{1,1,2,1},{2,1,1,1},{1,1,2,1},{1,0,0,2},{1,1,2,1},{2,1,1,1},{2,1,1,1},{1,0,0,2},{2,0,0,2},{2,1,0,2},{1,0,0,2},{1,0,0,2},{1,0,1,1}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-21168,0,0,0,504,0,-41,0,1}|3.2.518.2|{-284,548,42,-1,1}
{{2,0,2,1},{0,2,2,2},{2,2,0,2},{2,0,2,1},{0,1,2,0},{2,0,2,1},{2,0,2,1},{2,2,0,2},{2,0,2,1},{2,2,0,2},{2,0,2,1},{2,0,2,1},{0,1,1,1},{0,1,2,0},{0,1,2,0},{0,2,2,2},{0,1,2,0},{2,2,0,2},{2,0,2,1},{2,0,2,1},{0,1,2,0}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-16240,2752,-2320,-865,436,-7,7,-4,1}|3.2.518.3|{-1150,-170,18,-1,1}
{{2,0,2,1},{0,1,1,1},{2,2,0,2},{2,0,2,1},{0,1,2,0},{2,0,2,1},{2,0,2,1},{2,2,0,2},{2,0,2,1},{2,2,0,2},{2,0,2,1},{2,0,2,1},{0,2,2,2},{0,1,2,0},{0,1,2,0},{0,1,1,1},{0,1,2,0},{2,2,0,2},{2,0,2,1},{2,0,2,1},{0,1,2,0}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-16240,2752,-2320,-865,436,-7,7,-4,1}|3.2.518.4|{-1150,-170,18,-1,1}
{{0,1,1,2},{1,0,2,2},{2,1,0,2},{0,1,1,2},{1,1,0,1},{0,1,1,2},{1,0,2,2},{2,1,0,2},{1,0,2,2},{2,1,1,1},{1,0,2,2},{0,1,1,2},{1,0,2,2},{1,0,0,1},{2,1,1,1},{1,0,2,2},{2,1,1,1},{1,1,0,1},{1,0,2,2},{0,2,2,1},{2,1,0,2}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-14798,3704,-4112,815,-404,-7,7,-4,1}|3.2.518.5|{-142,-107,-45,-1,1}
{{0,2,2,1},{1,0,2,2},{2,1,0,2},{0,2,2,1},{1,1,0,1},{0,2,2,1},{1,0,2,2},{2,1,0,2},{1,0,2,2},{2,1,1,1},{1,0,2,2},{0,2,2,1},{1,0,2,2},{1,0,0,1},{2,1,1,1},{1,0,2,2},{2,1,1,1},{1,1,0,1},{1,0,2,2},{0,1,1,2},{2,1,0,2}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-14798,3704,-4112,815,-404,-7,7,-4,1}|3.2.518.6|{-142,-107,-45,-1,1}
{{2,2,0,1},{2,2,0,1},{1,2,1,0},{0,2,2,2},{0,2,1,2},{2,2,0,1},{0,1,1,1},{1,2,1,0},{0,1,1,1},{2,0,0,2},{0,1,1,1},{0,1,1,1},{0,2,2,2},{1,1,1,2},{1,1,1,2},{2,2,0,1},{1,1,1,2},{0,2,1,2},{2,2,0,1},{0,2,2,2},{0,2,1,2}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12106,3272,-3848,1171,-632,53,-13,-4,1}|3.2.518.7|{2740,143,-93,-1,1}
{{2,2,0,1},{2,2,0,1},{1,2,1,0},{0,1,1,1},{0,2,1,2},{2,2,0,1},{0,2,2,2},{1,2,1,0},{0,2,2,2},{2,0,0,2},{0,2,2,2},{0,2,2,2},{0,1,1,1},{1,1,1,2},{1,1,1,2},{2,2,0,1},{1,1,1,2},{0,2,1,2},{2,2,0,1},{0,1,1,1},{0,2,1,2}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12106,3272,-3848,1171,-632,53,-13,-4,1}|3.2.518.8|{2740,143,-93,-1,1}
{{1,0,0,2},{1,1,2,1},{2,1,2,0},{1,0,0,2},{0,1,2,0},{1,1,2,1},{2,2,1,2},{2,2,0,2},{2,2,1,2},{0,1,2,0},{1,1,2,1},{1,0,0,2},{1,0,0,2},{2,1,2,0},{2,1,2,0},{1,1,2,1},{2,2,0,2},{2,2,0,2},{1,0,0,2},{1,0,0,2},{2,0,0,2}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1176,-2143,3154,-1983,895,113,-33,-4,1}|3.2.518.9|{-236,752,24,-1,1}
{{1,0,0,2},{2,2,1,2},{2,1,2,0},{1,0,0,2},{0,1,2,0},{2,2,1,2},{1,1,2,1},{2,2,0,2},{1,1,2,1},{0,1,2,0},{2,2,1,2},{1,0,0,2},{1,0,0,2},{2,1,2,0},{2,1,2,0},{2,2,1,2},{2,2,0,2},{2,2,0,2},{1,0,0,2},{1,0,0,2},{2,0,0,2}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1176,-2143,3154,-1983,895,113,-33,-4,1}|3.2.518.10|{-236,752,24,-1,1}
{{2,2,2,0},{2,2,2,0},{0,1,2,0},{2,2,2,0},{2,0,0,2},{2,1,0,1},{2,1,0,1},{2,0,1,2},{2,2,2,0},{0,1,2,2},{2,1,0,1},{2,2,2,0},{2,1,0,1},{0,1,2,2},{0,1,2,2},{2,2,2,0},{0,1,2,0},{0,1,2,0},{2,1,0,1},{1,1,1,0},{0,1,2,2}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-854,533,-626,185,-89,-7,7,-4,1}|3.2.518.11|{-72,180,18,-1,1}
{{1,1,1,0},{1,1,1,0},{0,1,2,0},{1,1,1,0},{2,0,0,2},{2,1,0,1},{2,1,0,1},{2,0,1,2},{1,1,1,0},{0,1,2,2},{2,1,0,1},{1,1,1,0},{2,1,0,1},{0,1,2,2},{0,1,2,2},{1,1,1,0},{0,1,2,0},{0,1,2,0},{2,1,0,1},{2,2,2,0},{0,1,2,2}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-854,533,-626,185,-89,-7,7,-4,1}|3.2.518.12|{-72,180,18,-1,1}
{{0,1,1,1},{1,0,1,2},{0,2,1,1},{0,2,2,2},{0,2,1,1},{1,0,1,2},{1,0,1,2},{0,2,1,0},{0,2,2,2},{0,2,1,1},{0,1,1,1},{0,2,2,2},{0,1,1,1},{0,2,1,1},{2,2,1,0},{1,0,1,2},{1,0,0,1},{0,2,1,1},{0,2,2,2},{0,1,1,1},{2,2,1,0}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-768,0,524,0,-96,0,0,0,1}|3.2.518.13|{-768,-524,-96,0,1}
{{0,2,2,2},{1,0,1,2},{0,2,1,1},{0,1,1,1},{0,2,1,1},{1,0,1,2},{1,0,1,2},{0,2,1,0},{0,1,1,1},{0,2,1,1},{0,2,2,2},{0,1,1,1},{0,2,2,2},{0,2,1,1},{2,2,1,0},{1,0,1,2},{1,0,0,1},{0,2,1,1},{0,1,1,1},{0,2,2,2},{2,2,1,0}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-768,0,524,0,-96,0,0,0,1}|3.2.518.14|{-768,-524,-96,0,1}
{{1,0,2,2},{0,1,1,2},{2,2,1,0},{1,0,2,2},{0,2,1,1},{0,2,2,1},{0,1,1,2},{2,2,1,0},{1,0,2,2},{2,2,2,1},{0,1,1,2},{1,0,2,2},{0,1,1,2},{2,2,1,0},{0,2,1,1},{0,2,2,1},{2,2,2,1},{2,2,1,0},{0,2,2,1},{0,1,1,2},{2,2,2,1}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-48,0,-24,47,-20,-7,7,-4,1}|3.2.518.15|{-48,0,-24,-1,1}
{{1,0,2,2},{0,2,2,1},{2,2,1,0},{1,0,2,2},{0,2,1,1},{0,1,1,2},{0,2,2,1},{2,2,1,0},{1,0,2,2},{2,2,2,1},{0,2,2,1},{1,0,2,2},{0,2,2,1},{2,2,1,0},{0,2,1,1},{0,1,1,2},{2,2,2,1},{2,2,1,0},{0,1,1,2},{0,2,2,1},{2,2,2,1}}|{5,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-48,0,-24,47,-20,-7,7,-4,1}|3.2.518.16|{-48,0,-24,-1,1}
{{0,1,2,1},{1,2,1,1},{2,0,0,1},{0,1,2,0},{2,1,2,2},{2,0,0,1},{0,1,2,1},{0,1,2,1},{1,2,1,1},{2,1,2,0},{2,1,2,2},{1,2,1,1},{1,2,1,1},{2,1,2,0},{0,1,2,0},{1,2,1,1},{2,1,2,0},{0,1,2,0},{2,1,2,2},{1,2,1,1},{0,1,2,1}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-4000,-800,-2000,-800,80,80,-40,-2,1}|3.2.520.1|{39,-78,0,-2,1}
{{0,1,2,1},{2,1,2,2},{2,0,0,1},{0,1,2,0},{1,2,1,1},{2,0,0,1},{0,1,2,1},{0,1,2,1},{2,1,2,2},{2,1,2,0},{1,2,1,1},{2,1,2,2},{2,1,2,2},{2,1,2,0},{0,1,2,0},{2,1,2,2},{2,1,2,0},{0,1,2,0},{1,2,1,1},{2,1,2,2},{0,1,2,1}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-4000,-800,-2000,-800,80,80,-40,-2,1}|3.2.520.2|{39,-78,0,-2,1}
{{2,1,1,1},{1,0,0,2},{1,0,0,2},{2,0,1,2},{1,0,0,2},{1,1,2,1},{2,1,1,1},{2,0,1,2},{1,1,2,1},{1,1,0,1},{1,1,2,1},{2,2,1,2},{2,2,1,2},{2,0,1,2},{1,1,0,1},{1,0,0,2},{2,1,1,1},{2,1,1,1},{2,2,1,2},{2,2,1,2},{1,1,0,1}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1857,-456,72,-54,126,42,-20,-4,1}|3.2.520.3|{147,-14,-24,0,1}
{{2,1,1,1},{1,0,0,2},{1,0,0,2},{2,0,1,2},{1,0,0,2},{2,2,1,2},{2,1,1,1},{2,0,1,2},{2,2,1,2},{1,1,0,1},{2,2,1,2},{1,1,2,1},{1,1,2,1},{2,0,1,2},{1,1,0,1},{1,0,0,2},{2,1,1,1},{2,1,1,1},{1,1,2,1},{1,1,2,1},{1,1,0,1}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1857,-456,72,-54,126,42,-20,-4,1}|3.2.520.4|{147,-14,-24,0,1}
{{1,0,2,1},{2,2,2,0},{1,2,0,2},{0,2,1,0},{2,2,2,0},{1,2,0,2},{1,0,2,1},{2,0,0,2},{1,1,1,0},{1,0,2,1},{2,2,2,0},{2,2,2,0},{1,2,0,2},{2,0,2,2},{1,0,2,1},{2,2,2,0},{0,2,1,0},{1,0,2,1},{2,2,2,0},{2,2,2,0},{1,0,2,1}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-840,-2120,1720,24,92,-160,-18,-2,1}|3.2.520.5|{-124,32,-36,-2,1}
{{1,0,2,1},{1,1,1,0},{1,2,0,2},{0,2,1,0},{1,1,1,0},{1,2,0,2},{1,0,2,1},{2,0,0,2},{2,2,2,0},{1,0,2,1},{1,1,1,0},{1,1,1,0},{1,2,0,2},{2,0,2,2},{1,0,2,1},{1,1,1,0},{0,2,1,0},{1,0,2,1},{1,1,1,0},{1,1,1,0},{1,0,2,1}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-840,-2120,1720,24,92,-160,-18,-2,1}|3.2.520.6|{-124,32,-36,-2,1}
{{0,2,1,0},{1,2,2,0},{1,2,2,0},{1,0,2,1},{1,2,2,0},{1,1,0,2},{1,0,2,1},{0,2,1,0},{1,2,2,0},{0,2,1,0},{2,1,1,0},{2,1,1,0},{1,1,0,2},{2,0,2,2},{0,2,1,0},{2,1,1,0},{2,0,2,2},{1,0,2,1},{1,1,0,2},{1,1,0,2},{1,0,2,1}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-580,8,356,-52,-28,20,-8,-2,1}|3.2.520.7|{-3,-14,6,0,1}
{{0,2,1,0},{2,1,1,0},{2,1,1,0},{1,0,2,1},{2,1,1,0},{1,1,0,2},{1,0,2,1},{0,2,1,0},{2,1,1,0},{0,2,1,0},{1,2,2,0},{1,2,2,0},{1,1,0,2},{2,0,2,2},{0,2,1,0},{1,2,2,0},{2,0,2,2},{1,0,2,1},{1,1,0,2},{1,1,0,2},{1,0,2,1}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-580,8,356,-52,-28,20,-8,-2,1}|3.2.520.8|{-3,-14,6,0,1}
{{1,2,2,2},{0,1,1,1},{1,1,0,2},{1,2,1,0},{1,1,0,2},{0,2,2,2},{0,2,1,2},{1,2,2,2},{1,1,0,2},{1,0,0,1},{1,1,0,2},{0,1,1,1},{0,2,2,2},{0,2,1,2},{1,2,2,2},{0,1,1,1},{0,2,1,2},{0,2,1,2},{1,1,0,2},{0,1,1,1},{1,2,1,0}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-432,0,0,0,72,0,-36,0,1}|3.2.520.9|{-3,-18,-6,0,1}
{{1,2,2,2},{0,2,2,2},{1,1,0,2},{1,2,1,0},{1,1,0,2},{0,1,1,1},{0,2,1,2},{1,2,2,2},{1,1,0,2},{1,0,0,1},{1,1,0,2},{0,2,2,2},{0,1,1,1},{0,2,1,2},{1,2,2,2},{0,2,2,2},{0,2,1,2},{0,2,1,2},{1,1,0,2},{0,2,2,2},{1,2,1,0}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-432,0,0,0,72,0,-36,0,1}|3.2.520.10|{-3,-18,-6,0,1}
{{2,1,0,2},{2,1,0,1},{2,2,2,0},{1,1,1,2},{2,1,0,1},{1,1,1,0},{1,2,0,1},{1,1,1,2},{2,1,0,1},{2,1,0,2},{2,2,2,0},{2,2,2,0},{2,1,0,1},{2,1,0,2},{1,2,0,1},{1,1,1,0},{1,1,1,2},{2,1,0,2},{2,2,2,0},{2,1,0,1},{2,1,0,2}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,5192,0,-6,0,0,0,1}|3.2.520.11|{-300,-220,-60,0,1}
{{2,1,0,2},{2,1,0,1},{1,1,1,0},{1,1,1,2},{2,1,0,1},{2,2,2,0},{1,2,0,1},{1,1,1,2},{2,1,0,1},{2,1,0,2},{1,1,1,0},{1,1,1,0},{2,1,0,1},{2,1,0,2},{1,2,0,1},{2,2,2,0},{1,1,1,2},{2,1,0,2},{1,1,1,0},{2,1,0,1},{2,1,0,2}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,5192,0,-6,0,0,0,1}|3.2.520.12|{-300,-220,-60,0,1}
{{2,1,0,1},{2,2,2,0},{1,0,1,1},{1,1,1,0},{2,1,1,1},{2,1,0,1},{2,1,1,1},{2,1,0,1},{2,1,0,1},{2,0,1,2},{1,0,1,1},{1,1,1,0},{1,0,1,1},{2,2,2,0},{2,1,0,1},{2,1,0,1},{2,1,1,1},{2,1,1,1},{2,1,0,1},{2,1,1,1},{1,0,1,1},{2,1,0,1},{2,1,0,1},{1,0,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-972,0,-81,0,108,0,0,0,1}|3.2.521.1|{-12,-3,12,0,1}
{{2,1,0,1},{1,1,1,0},{1,0,1,1},{2,2,2,0},{2,1,1,1},{2,1,0,1},{2,1,1,1},{2,1,0,1},{2,1,0,1},{2,0,1,2},{1,0,1,1},{2,2,2,0},{1,0,1,1},{1,1,1,0},{2,1,0,1},{2,1,0,1},{2,1,1,1},{2,1,1,1},{2,1,0,1},{2,1,1,1},{1,0,1,1},{2,1,0,1},{2,1,0,1},{1,0,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-972,0,-81,0,108,0,0,0,1}|3.2.521.2|{-12,-3,12,0,1}
{{0,1,1,0},{0,1,1,0},{1,2,2,2},{2,1,2,2},{0,1,2,2},{2,1,2,2},{1,2,2,2},{0,1,1,0},{0,1,1,0},{0,1,2,2},{0,1,2,2},{1,2,1,1},{1,2,2,2},{0,1,1,0},{0,1,1,0},{1,2,1,1},{1,2,1,0},{0,1,2,2},{0,1,1,0},{1,2,1,0},{0,1,2,2},{1,2,1,1},{2,1,2,2},{0,1,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1000,464,-716,541,-362,107,-31,-4,1}|3.2.523.1|{-520,352,-72,-1,1}
{{0,1,1,0},{0,1,1,0},{1,2,2,2},{1,2,1,1},{0,1,2,2},{1,2,1,1},{1,2,2,2},{0,1,1,0},{0,1,1,0},{0,1,2,2},{0,1,2,2},{2,1,2,2},{1,2,2,2},{0,1,1,0},{0,1,1,0},{2,1,2,2},{1,2,1,0},{0,1,2,2},{0,1,1,0},{1,2,1,0},{0,1,2,2},{2,1,2,2},{1,2,1,1},{0,1,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1000,464,-716,541,-362,107,-31,-4,1}|3.2.523.2|{-520,352,-72,-1,1}
{{2,0,2,1},{2,1,2,0},{0,1,1,1},{2,0,1,2},{2,0,2,1},{2,1,2,0},{2,0,2,1},{2,0,2,1},{2,1,2,0},{2,0,1,2},{0,1,1,1},{2,1,1,1},{0,2,2,2},{0,1,1,1},{2,0,2,1},{2,0,1,2},{2,0,1,2},{0,1,1,1},{2,0,0,2},{2,1,1,1},{0,1,1,1},{0,2,2,2},{2,0,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-8500,-2963,2630,665,-329,-7,7,-4,1}|3.2.526.1|{-432,-318,-72,0,1}
